idx,hit_term,whitespace_before,whitespace_after,boundary_cut_near,timestamps_in_window,pct_time_decreasing,near_total,near_proactive_event_tracker,near_triald,near_TRILogEvent,near_ABTest,near_variant,near_bucket
99,監視,No,No,No,32,0.156,239,19,85,68,0,3,64
100,確認,No,No,No,32,0.156,239,19,85,68,0,3,64
101,監視,No,No,No,32,0.156,239,19,85,68,0,3,64
102,削除,No,No,No,32,0.156,239,19,85,68,0,3,64
103,確認,No,No,No,32,0.156,239,19,85,68,0,3,64
104,認証,No,No,No,37,0.162,124,15,39,0,0,6,64
105,削除,No,No,No,38,0.158,124,15,39,0,0,6,64
106,確認,No,No,No,39,0.154,124,15,39,0,0,6,64
107,確認,No,No,No,39,0.154,124,15,39,0,0,6,64
108,確認,No,No,No,39,0.154,124,15,39,0,0,6,64
109,確認,No,No,No,38,0.158,124,15,39,0,0,6,64
110,確認,No,No,No,37,0.162,124,15,39,0,0,6,64
111,確認,No,No,No,37,0.162,124,15,39,0,0,6,64
112,確認,No,No,No,36,0.167,124,15,39,0,0,6,64
113,確認,No,No,No,34,0.147,124,15,39,0,0,6,64
114,確認,No,No,No,33,0.121,124,15,39,0,0,6,64
115,設定,No,No,No,31,0.129,85,15,31,0,0,6,33
116,監視,No,No,No,31,0.129,82,15,31,0,0,6,30
117,追跡,No,No,No,31,0.129,80,15,31,0,0,6,28
118,確認,No,No,No,32,0.125,76,15,31,0,0,6,24
119,監視,No,No,No,32,0.125,70,15,31,0,0,6,18
120,追跡,No,No,No,32,0.125,70,15,31,0,0,6,18
121,監視,No,No,No,32,0.125,67,15,31,0,0,6,15
122,確認,No,No,No,32,0.125,64,15,31,0,0,6,12
123,確認,No,No,No,32,0.125,60,15,31,0,0,6,8
124,設定,No,No,No,32,0.125,56,15,31,0,0,6,4
125,監視,No,No,No,32,0.125,52,15,29,0,0,6,2
126,監視,No,No,No,32,0.125,50,15,27,0,0,6,2
127,監視,No,No,No,32,0.125,46,15,23,0,0,6,2
128,追跡,No,No,No,32,0.125,46,15,23,0,0,6,2
129,監視,No,No,No,32,0.125,46,15,23,0,0,6,2
130,削除,No,No,No,30,0.1,43,15,22,0,0,6,0
131,設定,No,No,No,30,0.1,43,15,22,0,0,6,0
132,確認,No,No,No,30,0.1,43,15,22,0,0,6,0
133,設定,No,No,No,30,0.1,43,15,22,0,0,6,0
134,確認,No,No,No,30,0.1,43,15,22,0,0,6,0
135,設定,No,No,No,28,0.107,43,15,22,0,0,6,0
136,確認,No,No,No,28,0.107,43,15,22,0,0,6,0
137,遮断,No,No,No,21,0.143,43,15,22,0,0,6,0
138,削除,No,No,No,21,0.143,43,15,22,0,0,6,0
139,遮断,No,No,No,21,0.143,43,15,22,0,0,6,0
