file,class,term,count
part3.zip:part3.txt,Main,共有,1
part3.zip:part3.txt,Main,削除,23
part3.zip:part3.txt,Main,復元,8
part3.zip:part3.txt,Main,監視,45
part3.zip:part3.txt,Main,確認,116
part3.zip:part3.txt,Main,設定,30
part3.zip:part3.txt,Main,許可,2
part3.zip:part3.txt,Main,認証,1
part3.zip:part3.txt,Main,追跡,11
part3.zip:part3.txt,Main,遮断,10
