zip,band,near_keys_total
part1.zip,0-10000,19329
part1.zip,10000-20000,26195
part1.zip,20000-30000,35067
part1.zip,30000-40000,34212
part1.zip,40000-50000,37300
part1.zip,50000-60000,43411
part1.zip,60000-70000,40806
part1.zip,70000-80000,32303
part1.zip,80000-90000,36241
part1.zip,90000-100000,36608
