batch,file,hit_term,hit_pos,window_len,has_seam_or_burst,whitespace_ratio,order_anomaly,proactive_event_tracker,triald,TRILogEvent,ABTest,variant,bucket
27000-28359,part3.zip:part3.txt,削除,33,30035,False,0.307,True,False,True,False,False,False,False
27000-28359,part3.zip:part3.txt,確認,1646,31648,False,0.3267,True,False,True,False,False,False,False
27000-28359,part3.zip:part3.txt,監視,1984,31986,False,0.3304,True,False,True,False,False,False,False
27000-28359,part3.zip:part3.txt,可能性,2035,32038,False,0.3308,True,False,True,False,False,False,False
27000-28359,part3.zip:part3.txt,確認,2128,32130,False,0.3316,True,False,True,False,False,False,False
27000-28359,part3.zip:part3.txt,可能性,2191,32194,False,0.3325,True,False,True,False,False,False,False
27000-28359,part3.zip:part3.txt,可能性,2285,32288,False,0.3333,True,False,True,False,False,False,False
27000-28359,part3.zip:part3.txt,アクセス,14453,44457,False,0.4184,True,False,True,False,False,False,False
27000-28359,part3.zip:part3.txt,監視,14477,44479,False,0.4183,True,False,True,False,False,False,False
27000-28359,part3.zip:part3.txt,確認,70744,60002,False,0.4717,True,False,True,False,False,False,False
27000-28359,part3.zip:part3.txt,アクセス,70926,60004,False,0.4701,True,False,True,False,False,False,False
27000-28359,part3.zip:part3.txt,同期,70961,60002,False,0.4696,True,False,True,False,False,False,False
27000-28359,part3.zip:part3.txt,監視,70976,60002,False,0.4694,True,False,True,False,False,False,False
27000-28359,part3.zip:part3.txt,確認,71024,60002,False,0.4687,True,False,True,False,False,False,False
27000-28359,part3.zip:part3.txt,アクセス,71467,60004,False,0.4641,True,False,True,False,False,False,False
27000-28359,part3.zip:part3.txt,監視,71582,60002,False,0.4631,True,False,True,False,False,False,False
27000-28359,part3.zip:part3.txt,削除,71674,60002,False,0.4617,True,False,True,False,False,False,False
27000-28359,part3.zip:part3.txt,アクセス,73516,60004,False,0.4428,True,False,True,False,False,False,False
27000-28359,part3.zip:part3.txt,同期,73558,60002,False,0.4428,True,False,True,False,False,False,False
27000-28359,part3.zip:part3.txt,位置情報,73883,60004,False,0.4392,True,False,True,False,False,False,False
27000-28359,part3.zip:part3.txt,同期,73961,60002,False,0.4384,True,False,True,False,False,False,False
27000-28359,part3.zip:part3.txt,監視,74134,60002,False,0.4367,True,False,True,False,False,False,False
27000-28359,part3.zip:part3.txt,監視,74283,60002,False,0.4353,True,False,True,False,False,False,False
27000-28359,part3.zip:part3.txt,確認,97116,60002,False,0.2392,True,False,True,False,False,False,False
27000-28359,part3.zip:part3.txt,確認,97223,60002,False,0.2385,True,False,True,False,False,False,False
27000-28359,part3.zip:part3.txt,確認,97604,60002,False,0.236,True,False,True,False,False,False,False
27000-28359,part3.zip:part3.txt,監視,97712,60002,False,0.2347,True,False,True,False,False,False,False
27000-28359,part3.zip:part3.txt,監視,97784,60002,False,0.2343,True,False,True,False,False,False,False
27000-28359,part3.zip:part3.txt,確認,97790,60002,False,0.2342,True,False,True,False,False,False,False
27000-28359,part3.zip:part3.txt,確認,98013,60002,False,0.2322,True,False,True,False,False,False,False
27000-28359,part3.zip:part3.txt,監視,98041,60002,False,0.2323,True,False,True,False,False,False,False
27000-28359,part3.zip:part3.txt,監視,98069,60002,False,0.232,True,False,True,False,False,False,False
27000-28359,part3.zip:part3.txt,同期,98106,60002,False,0.2316,True,False,True,False,False,False,False
27000-28359,part3.zip:part3.txt,監視,98207,60002,False,0.2311,True,False,True,False,False,False,False
27000-28359,part3.zip:part3.txt,確認,98240,60002,False,0.2307,True,False,True,False,False,False,False
27000-28359,part3.zip:part3.txt,可能性,99897,60003,False,0.2144,True,False,True,False,False,False,False
27000-28359,part3.zip:part3.txt,同期,100194,60002,False,0.2143,True,False,True,False,False,False,False
