batch,file,hit_term,hit_pos,window_len,has_seam_or_burst,whitespace_ratio,order_anomaly,proactive_event_tracker,triald,TRILogEvent,ABTest,variant,bucket,timestamp
21000-23999,part3.zip:part3.txt,可能性,1747698,60003,False,0.0884,False,False,True,False,False,False,False,
21000-23999,part3.zip:part3.txt,遮断,1747747,60002,False,0.0883,False,False,True,False,False,False,False,
21000-23999,part3.zip:part3.txt,遮断,1748064,60002,False,0.0882,False,False,True,False,False,False,False,
21000-23999,part3.zip:part3.txt,確認,1748110,60002,False,0.0881,False,False,True,False,False,False,False,
21000-23999,part3.zip:part3.txt,確認,1748223,60002,False,0.088,False,False,True,False,False,False,False,
21000-23999,part3.zip:part3.txt,遮断,1748241,60002,False,0.088,False,False,True,False,False,False,False,
21000-23999,part3.zip:part3.txt,遮断,1751864,60002,False,0.0866,False,False,True,False,False,False,False,
21000-23999,part3.zip:part3.txt,アクセス,2053604,60004,False,0.1325,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,可能性,2055412,60003,False,0.1304,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,設定,2055771,60002,False,0.1295,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,監視,2055858,60002,False,0.1294,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,可能性,2055893,60003,False,0.1294,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,確認,2056263,60002,False,0.129,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,削除,2056289,60002,False,0.129,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,可能性,2058574,60003,False,0.126,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,監視,2058730,60002,False,0.1259,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,監視,2059174,60002,False,0.1257,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,確認,2061310,60002,False,0.1244,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,認証,2061499,60002,False,0.1243,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,追跡,2061503,60002,False,0.1243,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,通信,2061512,60002,False,0.1243,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,監視,2061515,60002,False,0.1243,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,通信,2061924,60002,False,0.1239,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,同期,2061927,60002,False,0.1239,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,通信,2062058,60002,False,0.1237,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,可能性,2067107,60003,False,0.1045,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,可能性,2069111,60003,False,0.1024,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,監視,2069120,60002,False,0.1024,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,可能性,2071269,60003,False,0.1051,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,監視,2071527,60002,False,0.1057,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,可能性,2071560,60003,False,0.1058,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,監視,2074912,60002,False,0.1121,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,監視,2075024,60002,False,0.1117,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,確認,2075111,60002,False,0.1115,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,監視,2075270,60002,False,0.1117,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,可能性,2075298,60003,False,0.1115,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,可能性,2075552,60003,False,0.111,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,監視,2075616,60002,False,0.1104,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,可能性,2075855,60003,False,0.1096,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,確認,2075951,60002,False,0.1092,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,アクセス,2107438,60004,False,0.3013,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,可能性,2108007,60003,False,0.3031,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,可能性,2108139,60003,False,0.3033,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,通信,2108254,60002,False,0.3035,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,可能性,2108558,60003,False,0.3047,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,可能性,2108640,60003,False,0.3051,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,認証,2108802,60002,False,0.3058,True,False,False,False,False,True,False,
21000-23999,part3.zip:part3.txt,確認,2108804,60002,False,0.3059,True,False,False,False,False,True,False,
