zip,band,near_keys_total
part2.zip,0-10000,0
part2.zip,10000-20000,0
part2.zip,20000-30000,0
part2.zip,30000-40000,0
part2.zip,40000-50000,0
part2.zip,50000-60000,0
part2.zip,60000-70000,0
part2.zip,70000-80000,0
part2.zip,80000-90000,0
part2.zip,90000-100000,0
